tid	source_ac	sifsc	destination_ac	difsc	amount	remark	txn_date
101	AC002	IFSC002	AC010	IFSC010	8784.34	Test Txn 1	2023-06-13
102	AC006	IFSC006	AC008	IFSC008	4412.66	Test Txn 2	2025-01-02
103	AC010	IFSC010	AC005	IFSC005	357.79	Test Txn 3	2024-12-30
104	AC003	IFSC003	AC006	IFSC006	6931.31	Test Txn 4	2024-07-08
105	AC002	IFSC002	AC003	IFSC003	1092.75	Test Txn 5	2025-02-01
106	AC001	IFSC001	AC002	IFSC002	1348.34	Test Txn 6	2024-08-12
107	AC007	IFSC007	AC010	IFSC010	5490.22	Test Txn 7	2024-05-23
108	AC003	IFSC003	AC008	IFSC008	4034.01	Test Txn 8	2023-10-12
109	AC001	IFSC001	AC009	IFSC009	458.81	Test Txn 9	2024-05-12
110	AC003	IFSC003	AC009	IFSC009	6018.99	Test Txn 10	2025-03-14
111	AC007	IFSC007	AC010	IFSC010	8922.20	Test Txn 11	2024-09-22
112	AC002	IFSC002	AC006	IFSC006	4685.88	Test Txn 12	2024-02-20
113	AC003	IFSC003	AC006	IFSC006	7923.61	Test Txn 13	2025-03-19
114	AC002	IFSC002	AC003	IFSC003	9157.58	Test Txn 14	2023-08-27
115	AC009	IFSC009	AC007	IFSC007	1450.03	Test Txn 15	2023-05-31
116	AC004	IFSC004	AC007	IFSC007	778.47	Test Txn 16	2023-06-15
117	AC010	IFSC010	AC007	IFSC007	8938.68	Test Txn 17	2024-07-24
118	AC010	IFSC010	AC004	IFSC004	9660.20	Test Txn 18	2023-12-03
119	AC010	IFSC010	AC004	IFSC004	3069.87	Test Txn 19	2023-06-19
120	AC004	IFSC004	AC003	IFSC003	8091.92	Test Txn 20	2025-04-29
